"Name","Created","Runtime","End Time","ID","Notes","State","Updated","Tags","batch_size","dropout","embedding_dim","hidden_dim","lang","n_layers","train_accuracy","train_loss","val_accuracy","val_loss"
"brisk-sweep-80","2022-01-25T20:25:22.000Z","41","2022-01-25T20:26:03.000Z","pg8xvykn","-","finished","2022-01-25T20:26:03.000Z","","64","0.1","200","256","lt","4","0.939901270874908","0.18508124573005216","0.8109698070767367","0.6250535517930984"
"brisk-sweep-794","2022-01-26T16:58:48.000Z","55","2022-01-26T16:59:43.000Z","lrp5hgu8","-","finished","2022-01-26T16:59:43.000Z","","128","0.2","50","64","ar","4","0.9443886067486372","0.1818857183870004","0.9305452358206844","0.2225784957408905"
"brisk-sweep-686","2022-01-26T14:03:29.000Z","25","2022-01-26T14:03:54.000Z","4dwyizd2","-","finished","2022-01-26T14:03:54.000Z","","256","0.4","200","256","af","4","0.5548474656281348","1.3503140608469646","0.6392702651871356","1.139672040939331"
"brisk-sweep-389","2022-01-26T05:25:14.000Z","54","2022-01-26T05:26:08.000Z","x2pulqd1","-","finished","2022-01-26T05:26:08.000Z","","256","0.1","250","512","hy","4","0.3233820211376321","2.1987926959991455","0.3939167755178205","2.007097005844116"
"brisk-sweep-304","2022-01-26T02:52:13.000Z","25","2022-01-26T02:52:38.000Z","0eb105co","-","finished","2022-01-26T02:52:38.000Z","","128","0.2","200","64","hy","3","0.840589003681273","0.5845073908567429","0.8193692853144243","0.5874975919723511"
"brisk-sweep-219","2022-01-26T00:22:58.000Z","648","2022-01-26T00:33:46.000Z","h0yy50lo","-","finished","2022-01-26T00:33:46.000Z","","64","0.4","50","512","cs","4","0.9664932150915382","0.10125792051164004","0.9456958465170008","0.1605879467622987"
"brisk-sweep-195","2022-01-25T23:20:07.000Z","21","2022-01-25T23:20:28.000Z","svulak3x","-","finished","2022-01-25T23:20:28.000Z","","64","0.4","200","512","ta","4","0.3261178701216622","2.04592798437391","0.32066508313539194","2.0495299100875854"
"brisk-sweep-13","2022-01-25T18:44:53.000Z","229","2022-01-25T18:48:42.000Z","cb9ijj4y","-","finished","2022-01-25T18:48:42.000Z","","64","0.4","50","512","ar","4","0.9480724187856704","0.15488476859232814","0.9341188125818208","0.18851837458518836"
"bright-sweep-868","2022-01-26T19:18:25.000Z","14","2022-01-26T19:18:39.000Z","dt5tl98x","-","finished","2022-01-26T19:18:39.000Z","","128","0.2","250","64","ta","3","0.3460262284721125","2.0278486013412476","0.36975455265241486","1.9537642002105713"
"bright-sweep-747","2022-01-26T15:38:04.000Z","191","2022-01-26T15:41:15.000Z","ka12ir55","-","finished","2022-01-26T15:41:15.000Z","","128","0.1","150","512","en","4","0.9650806995591096","0.10881356400798778","0.910012724669954","0.30819745268672705"
"bright-sweep-601","2022-01-26T11:52:12.000Z","17","2022-01-26T11:52:29.000Z","x550zbgi","-","finished","2022-01-26T11:52:29.000Z","","256","0.2","50","512","ta","3","0.2673408121346184","2.2106798887252808","0.2905779889152811","2.1725122928619385"
"bright-sweep-264","2022-01-26T01:59:19.000Z","16","2022-01-26T01:59:35.000Z","4krnf5iz","-","finished","2022-01-26T01:59:35.000Z","","64","0.2","150","64","ta","3","0.44098593774687944","1.7344913482666016","0.47268408551068886","1.7137487530708313"
"breezy-sweep-77","2022-01-25T20:21:09.000Z","16","2022-01-25T20:21:25.000Z","4w6peggd","-","finished","2022-01-25T20:21:25.000Z","","256","0.1","200","256","ta","3","0.3569284247116448","1.921517193317413","0.3768804433887569","1.9069151878356936"
"breezy-sweep-57","2022-01-25T19:51:35.000Z","20","2022-01-25T19:51:55.000Z","gxjc3ty8","-","finished","2022-01-25T19:51:55.000Z","","128","0.1","250","512","ta","3","0.32627587296571336","2.0389954447746277","0.36896278701504354","1.9728654623031616"
"breezy-sweep-244","2022-01-26T01:18:59.000Z","221","2022-01-26T01:22:40.000Z","ruzxr8gd","-","finished","2022-01-26T01:22:40.000Z","","128","0.2","50","256","cs","3","0.9810598109039548","0.056439530574358424","0.9460725227261312","0.17919260875819482"
"blooming-sweep-731","2022-01-26T15:10:34.000Z","226","2022-01-26T15:14:20.000Z","8fctrt6e","-","finished","2022-01-26T15:14:20.000Z","","64","0.4","50","512","ar","4","0.947275440219966","0.1578288080612409","0.9352864168701128","0.1875630061213787"
"blooming-sweep-672","2022-01-26T13:31:55.000Z","112","2022-01-26T13:33:47.000Z","zloyi4pi","-","finished","2022-01-26T13:33:47.000Z","","256","0.1","200","64","cs","3","0.9889325568560176","0.036116735118389864","0.938488775048968","0.2351590862145295"
"blooming-sweep-345","2022-01-26T04:11:51.000Z","19","2022-01-26T04:12:10.000Z","khy4eo76","-","finished","2022-01-26T04:12:10.000Z","","256","0.4","250","64","af","4","0.2791349501386676","2.1518959601720176","0.31653187887906714","2.060798406600952"
"balmy-sweep-504","2022-01-26T08:49:30.000Z","15","2022-01-26T08:49:45.000Z","97fiv7o3","-","finished","2022-01-26T08:49:45.000Z","","256","0.1","50","256","ta","3","0.3100015800284405","2.06766939163208","0.30403800475059384","2.0557644367218018"
"balmy-sweep-393","2022-01-26T05:28:20.000Z","253","2022-01-26T05:32:33.000Z","8bb9qbep","-","finished","2022-01-26T05:32:33.000Z","","256","0.2","50","512","es","4","0.9425838571682582","0.1869927634085928","0.9359920384484685","0.19808324532849447"
